PortugalPopulation size (abridged)	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1940           0             82573.20        86873.34       169446.54
  1940           1             85445.04        89740.12       175185.16
  1940           2             87156.48        91590.12       178746.60
  1940           3             84349.66        86711.47       171061.13
  1940           4             85079.87        89797.24       174877.11
  1940           5             83112.31        87497.16       170609.47
  1940           6             84002.34        86964.63       170966.97
  1940           7             82373.89        84692.40       167066.29
  1940           8             77394.02        80832.55       158226.57
  1940           9             82644.08        88203.84       170847.92
  1940          10             74306.37        77330.60       151636.97
  1940          11             83110.63        84627.15       167737.78
  1940          12             77291.44        78117.01       155408.45
  1940          13             79559.11        81946.63       161505.74
  1940          14             78491.62        81046.96       159538.58
  1940          15             79442.95        77501.76       156944.71
  1940          16             75465.89        75517.74       150983.63
  1940          17             78847.42        76923.26       155770.68
  1940          18             66136.12        65109.80       131245.92
  1940          19             75202.71        69754.15       144956.86
  1940          20             54770.77        63446.69       118217.46
  1940          21             61186.07        58676.66       119862.73
  1940          22             63293.85        63029.88       126323.73
  1940          23             63627.65        62189.45       125817.10
  1940          24             67072.18        64332.23       131404.41
  1940          25             63879.07        61139.06       125018.13
  1940          26             62842.87        59797.69       122640.56
  1940          27             66820.31        62883.46       129703.77
  1940          28             53761.13        52176.30       105937.43
  1940          29             72816.09        66747.04       139563.13
  1940          30             49184.92        47956.14        97141.06
  1940          31             58974.93        54867.00       113841.93
  1940          32             57544.95        51952.30       109497.25
  1940          33             53318.46        48026.56       101345.02
  1940          34             59859.27        51280.49       111139.76
  1940          35             55579.54        47745.45       103324.99
  1940          36             51398.90        44708.82        96107.72
  1940          37             55321.75        47233.67       102555.42
  1940          38             46077.00        41748.49        87825.49
  1940          39             62804.72        53103.80       115908.52
  1940          40             36363.92        33014.01        69377.93
  1940          41             46938.59        39875.01        86813.60
  1940          42             42336.98        35671.03        78008.01
  1940          43             41662.25        35338.87        77001.12
  1940          44             46565.73        39711.08        86276.81
  1940          45             40173.88        34258.68        74432.56
  1940          46             38456.39        32770.26        71226.65
  1940          47             45489.39        36663.35        82152.74
  1940          48             35928.67        30098.54        66027.21
  1940          49             53683.20        40434.93        94118.13
  1940          50             30182.34        26218.29        56400.63
  1940          51             39518.59        32995.73        72514.32
  1940          52             35833.00        29276.06        65109.06
  1940          53             35124.31        27742.16        62866.47
  1940          54             37818.31        29762.47        67580.78
  1940          55             35709.69        27852.21        63561.90
  1940          56             29598.62        23609.88        53208.50
  1940          57             34657.65        26579.96        61237.61
  1940          58             25129.15        21021.94        46151.09
  1940          59             48876.18        34953.46        83829.64
  1940          60             21256.20        17958.01        39214.21
  1940          61             27779.53        21871.53        49651.06
  1940          62             27533.02        22445.73        49978.75
  1940          63             25956.16        20358.75        46314.91
  1940          64             30981.48        21947.14        52928.62
  1940          65             25597.28        19885.95        45483.23
  1940          66             21034.89        15829.82        36864.71
  1940          67             23798.91        16881.83        40680.74
  1940          68             15229.85        11873.50        27103.35
  1940          69             31993.78        20435.45        52429.23
  1940          70             12110.99         9439.01        21550.00
  1940          71             16477.28        11610.94        28088.22
  1940          72             13931.54        10339.32        24270.86
  1940          73             13278.07         9855.91        23133.98
  1940          74             16975.29        10638.34        27613.63
  1940          75             12537.95         8337.31        20875.26
  1940          76             10571.66         7364.64        17936.30
  1940          77             11877.67         7226.17        19103.84
  1940          78              6738.51         4793.99        11532.50
  1940          79             10410.71         5742.05        16152.76
  1940          80              9068.62         4864.50        13933.12
  1940          81              7500.46         4043.85        11544.31
  1940          82              6660.89         3386.15        10047.04
  1940          83              5753.37         2808.86         8562.23
  1940          84              4973.51         2382.32         7355.83
  1940          85              4164.90         1888.03         6052.93
  1940          86              3437.66         1493.20         4930.86
  1940          87              2890.19         1197.74         4087.93
  1940          88              2397.10          952.19         3349.29
  1940          89              2026.13          771.05         2797.18
  1940          90              1572.28          566.68         2138.96
  1940          91              1158.06          400.31         1558.37
  1940          92               955.65          321.89         1277.54
  1940          93               756.12          254.68         1010.80
  1940          94               648.44          198.01          846.45
  1940          95               522.04          147.11          669.15
  1940          96               369.24          103.45          472.69
  1940          97               261.24           76.74          337.98
  1940          98               184.32           49.47          233.79
  1940          99               127.79           29.39          157.18
  1940         100                81.21           18.91          100.12
  1940         101                59.94           14.40           74.34
  1940         102                41.76           10.44           52.20
  1940         103                27.96            7.95           35.91
  1940         104                21.47            5.94           27.41
  1940         105                16.97            3.42           20.39
  1940         106                11.43            0.94           12.37
  1940         107                 7.49            2.13            9.62
  1940         108                 7.00            2.40            9.40
  1940         109                 5.99            1.00            6.99
  1940         110+               13.45            1.47           14.92
  1941           0             75490.56        82330.63       157821.19
  1941           1             76744.51        80076.61       156821.12
  1941           2             82926.01        86959.24       169885.25
  1941           3             85902.80        90286.27       176189.07
  1941           4             83646.64        85965.57       169612.21
  1941           5             84650.45        89293.68       173944.13
  1941           6             82804.66        87124.35       169929.01
  1941           7             83753.86        86653.60       170407.46
  1941           8             82170.70        84423.72       166594.42
  1941           9             77210.77        80620.29       157831.06
  1941          10             82476.63        88009.86       170486.49
  1941          11             74149.44        77137.21       151286.65
  1941          12             82951.96        84460.71       167412.67
  1941          13             77134.65        77944.01       155078.66
  1941          14             79384.14        81751.98       161136.12
  1941          15             78303.99        80869.10       159173.09
  1941          16             79222.83        77305.76       156528.59
  1941          17             75225.74        75287.95       150513.69
  1941          18             78590.71        76642.41       155233.12
  1941          19             65866.53        64802.03       130668.56
  1941          20             74913.51        69416.70       144330.21
  1941          21             54521.02        63175.25       117696.27
  1941          22             60935.74        58406.54       119342.28
  1941          23             63032.74        62716.16       125748.90
  1941          24             63356.66        61864.92       125221.58
  1941          25             66787.38        64028.95       130816.33
  1941          26             63588.59        60842.66       124431.25
  1941          27             62545.97        59471.95       122017.92
  1941          28             66515.39        62544.70       129060.09
  1941          29             53447.77        51842.70       105290.47
  1941          30             72539.16        66422.10       138961.26
  1941          31             48927.06        47635.38        96562.44
  1941          32             58727.40        54536.97       113264.37
  1941          33             57259.44        51591.98       108851.42
  1941          34             53023.35        47693.79       100717.14
  1941          35             59583.72        50958.39       110542.11
  1941          36             55308.29        47413.01       102721.30
  1941          37             51139.10        44378.43        95517.53
  1941          38             55062.91        46900.50       101963.41
  1941          39             45802.60        41416.02        87218.62
  1941          40             62506.73        52764.17       115270.90
  1941          41             36090.49        32685.66        68776.15
  1941          42             46688.01        39526.57        86214.58
  1941          43             42067.30        35304.73        77372.03
  1941          44             41413.55        35009.27        76422.82
  1941          45             46300.69        39341.82        85642.51
  1941          46             39884.05        33868.26        73752.31
  1941          47             38192.46        32368.60        70561.06
  1941          48             45228.57        36249.99        81478.56
  1941          49             35635.47        29689.42        65324.89
  1941          50             53358.57        39991.87        93350.44
  1941          51             29852.72        25754.84        55607.56
  1941          52             39203.02        32571.77        71774.79
  1941          53             35487.34        28832.68        64320.02
  1941          54             34792.98        27290.62        62083.60
  1941          55             37446.61        29239.76        66686.37
  1941          56             35303.84        27313.85        62617.69
  1941          57             29197.12        23090.97        52288.09
  1941          58             34224.29        26040.61        60264.90
  1941          59             24693.70        20457.49        45151.19
  1941          60             48295.24        34297.28        82592.52
  1941          61             20647.55        17315.13        37962.68
  1941          62             27283.67        21276.07        48559.74
  1941          63             26934.90        21737.46        48672.36
  1941          64             25320.23        19601.69        44921.92
  1941          65             30263.42        21131.38        51394.80
  1941          66             24830.96        19094.49        43925.45
  1941          67             20345.10        15108.33        35453.43
  1941          68             23063.77        16097.17        39160.94
  1941          69             14507.82        11100.76        25608.58
  1941          70             31037.76        19526.51        50564.27
  1941          71             11105.75         8506.98        19612.73
  1941          72             15662.53        10814.27        26476.80
  1941          73             12965.11         9420.57        22385.68
  1941          74             12349.80         8919.74        21269.54
  1941          75             15913.25         9646.67        25559.92
  1941          76             11407.30         7387.00        18794.30
  1941          77              9566.70         6554.06        16120.76
  1941          78             10812.74         6390.81        17203.55
  1941          79              5737.34         4033.52         9770.86
  1941          80              9210.18         4938.70        14148.88
  1941          81              7869.70         4096.94        11966.64
  1941          82              6678.52         3462.09        10140.61
  1941          83              5778.98         2833.06         8612.04
  1941          84              4957.12         2330.46         7287.58
  1941          85              4140.91         1864.07         6004.98
  1941          86              3381.12         1442.30         4823.42
  1941          87              2818.11         1171.76         3989.87
  1941          88              2358.43          921.63         3280.06
  1941          89              1971.24          704.34         2675.58
  1941          90              1593.72          557.32         2151.04
  1941          91              1194.50          421.57         1616.07
  1941          92               929.30          313.17         1242.47
  1941          93               738.80          241.57          980.37
  1941          94               586.86          188.99          775.85
  1941          95               476.40          147.28          623.68
  1941          96               373.30          110.54          483.84
  1941          97               263.05           70.91          333.96
  1941          98               175.37           48.70          224.07
  1941          99               127.60           30.00          157.60
  1941         100                84.38           19.21          103.59
  1941         101                56.57           14.03           70.60
  1941         102                44.81           10.86           55.67
  1941         103                28.91            6.43           35.34
  1941         104                21.46            3.41           24.87
  1941         105                13.92            3.07           16.99
  1941         106                10.53            2.95           13.48
  1941         107                 8.45            0.94            9.39
  1941         108                 5.49            2.13            7.62
  1941         109                 5.52            1.87            7.39
  1941         110+               15.95            1.00           16.95
  1942           0             81033.37        85004.96       166038.33
  1942           1             69557.84        75072.66       144630.50
  1942           2             74037.36        77168.51       151205.87
  1942           3             81708.29        85515.34       167223.63
  1942           4             84671.57        88654.43       173326.00
  1942           5             83158.87        85550.95       168709.82
  1942           6             84021.77        88223.13       172244.90
  1942           7             82505.06        86323.92       168828.98
  1942           8             83474.51        86094.17       169568.68
  1942           9             82568.17        84483.00       167051.17
  1942          10             77213.26        80114.63       157327.89
  1942          11             82214.99        86599.21       168814.20
  1942          12             73982.79        77310.28       151293.07
  1942          13             82574.55        83920.56       166495.11
  1942          14             76982.88        77684.06       154666.94
  1942          15             79076.47        81146.11       160222.58
  1942          16             78019.81        80040.22       158060.03
  1942          17             78633.58        76613.81       155247.39
  1942          18             74742.44        74558.67       149301.11
  1942          19             77633.49        75711.72       153345.21
  1942          20             65244.21        64223.17       129467.38
  1942          21             74320.07        69025.76       143345.83
  1942          22             53657.10        61324.45       114981.55
  1942          23             60091.27        57534.54       117625.81
  1942          24             62159.92        61578.52       123738.44
  1942          25             62457.74        60698.76       123156.50
  1942          26             65805.65        62985.79       128791.44
  1942          27             63099.23        60208.94       123308.17
  1942          28             62058.36        58893.80       120952.16
  1942          29             66142.85        62053.13       128195.98
  1942          30             53701.35        51930.77       105632.12
  1942          31             71917.08        65789.65       137706.73
  1942          32             48704.80        47285.24        95990.04
  1942          33             58608.09        54330.25       112938.34
  1942          34             56792.16        51069.18       107861.34
  1942          35             52964.84        47449.34       100414.18
  1942          36             58925.53        50538.37       109463.90
  1942          37             54716.37        46872.77       101589.14
  1942          38             50866.66        44037.75        94904.41
  1942          39             54812.70        46550.69       101363.39
  1942          40             45673.74        41153.64        86827.38
  1942          41             61996.07        52188.48       114184.55
  1942          42             36086.72        32569.57        68656.29
  1942          43             46360.91        39149.53        85510.44
  1942          44             41813.85        35022.33        76836.18
  1942          45             41121.72        34610.69        75732.41
  1942          46             45692.08        38636.30        84328.38
  1942          47             39875.37        33651.41        73526.78
  1942          48             37961.50        31996.83        69958.33
  1942          49             44640.96        35656.09        80297.05
  1942          50             35258.95        29267.03        64525.98
  1942          51             52703.42        39332.32        92035.74
  1942          52             29538.88        25379.64        54918.52
  1942          53             38664.04        31899.99        70564.03
  1942          54             35171.21        28407.74        63578.95
  1942          55             34458.71        26854.21        61312.92
  1942          56             36973.54        28594.63        65568.17
  1942          57             34902.04        26850.58        61752.62
  1942          58             28988.68        22727.85        51716.53
  1942          59             33690.61        25396.35        59086.96
  1942          60             24249.05        19896.85        44145.90
  1942          61             46606.56        32897.14        79503.70
  1942          62             20284.00        16844.10        37128.10
  1942          63             26691.75        20576.08        47267.83
  1942          64             26115.96        20864.42        46980.38
  1942          65             24512.30        18751.24        43263.54
  1942          66             29116.03        20093.00        49209.03
  1942          67             23911.15        18118.01        42029.16
  1942          68             19625.51        14360.68        33986.19
  1942          69             22234.71        15256.38        37491.09
  1942          70             13823.71        10383.28        24206.99
  1942          71             29046.10        18067.89        47113.99
  1942          72             10670.19         7924.34        18594.53
  1942          73             14732.57         9908.23        24640.80
  1942          74             12179.77         8579.04        20758.81
  1942          75             11450.51         8018.77        19469.28
  1942          76             14501.27         8607.99        23109.26
  1942          77             10440.81         6564.34        17005.15
  1942          78              8585.20         5652.81        14238.01
  1942          79              9729.94         5543.33        15273.27
  1942          80              8950.35         4825.65        13776.00
  1942          81              7909.09         4119.86        12028.95
  1942          82              6912.62         3470.97        10383.59
  1942          83              5732.24         2838.58         8570.82
  1942          84              4963.82         2286.86         7250.68
  1942          85              4073.10         1800.16         5873.26
  1942          86              3307.12         1409.43         4716.55
  1942          87              2754.16         1098.75         3852.91
  1942          88              2241.67          862.87         3104.54
  1942          89              1883.65          669.93         2553.58
  1942          90              1506.57          507.76         2014.33
  1942          91              1191.71          402.09         1593.80
  1942          92               962.98          317.92         1280.90
  1942          93               719.27          225.15          944.42
  1942          94               586.63          176.89          763.52
  1942          95               446.62          130.65          577.27
  1942          96               339.91           98.72          438.63
  1942          97               267.38           77.56          344.94
  1942          98               181.75           42.30          224.05
  1942          99               120.50           26.75          147.25
  1942         100                84.66           21.27          105.93
  1942         101                57.79           13.85           71.64
  1942         102                40.87            9.42           50.29
  1942         103                29.97            6.97           36.94
  1942         104                19.85            4.96           24.81
  1942         105                10.95            2.41           13.36
  1942         106                 8.00            1.53            9.53
  1942         107                 5.96            1.48            7.44
  1942         108                 4.52            0.47            4.99
  1942         109                 4.49            2.13            6.62
  1942         110+               13.96            2.87           16.83
  1943           0             83311.51        87640.82       170952.33
  1943           1             75148.27        78079.40       153227.67
  1943           2             68150.28        73130.93       141281.21
  1943           3             73155.32        76247.39       149402.71
  1943           4             81174.64        84873.32       166047.96
  1943           5             83673.33        87303.71       170977.04
  1943           6             82735.80        85205.68       167941.48
  1943           7             83416.32        87201.99       170618.31
  1943           8             82248.39        85578.07       167826.46
  1943           9             83220.24        85568.28       168788.52
  1943          10             82957.85        84561.62       167519.47
  1943          11             77200.78        79591.94       156792.72
  1943          12             81931.39        85180.82       167112.21
  1943          13             73792.73        77478.87       151271.60
  1943          14             82175.20        83347.95       165523.15
  1943          15             76792.56        77393.25       154185.81
  1943          16             78710.49        80487.88       159198.37
  1943          17             77669.64        79165.65       156835.29
  1943          18             77992.03        75882.65       153874.68
  1943          19             74224.17        73769.07       147993.24
  1943          20             76641.12        74719.56       151360.68
  1943          21             64616.72        63619.37       128236.09
  1943          22             73722.87        68635.96       142358.83
  1943          23             52795.68        59480.71       112276.39
  1943          24             59261.67        56648.25       115909.92
  1943          25             61263.96        60441.38       121705.34
  1943          26             61542.79        59568.86       121111.65
  1943          27             64832.37        61967.22       126799.59
  1943          28             62602.11        59574.01       122176.12
  1943          29             61556.57        58327.69       119884.26
  1943          30             65764.51        61582.92       127347.43
  1943          31             53966.84        52023.22       105990.06
  1943          32             71301.78        65169.03       136470.81
  1943          33             48459.82        46942.50        95402.32
  1943          34             58483.04        54145.18       112628.22
  1943          35             56326.60        50562.33       106888.93
  1943          36             52905.73        47217.36       100123.09
  1943          37             58270.08        50152.68       108422.76
  1943          38             54113.84        46315.25       100429.09
  1943          39             50613.57        43684.48        94298.05
  1943          40             54587.50        46209.79       100797.29
  1943          41             45582.35        40914.18        86496.53
  1943          42             61493.27        51608.65       113101.92
  1943          43             36086.18        32445.93        68532.11
  1943          44             46064.54        38776.95        84841.49
  1943          45             41552.59        34689.86        76242.45
  1943          46             40854.55        34250.45        75105.00
  1943          47             45126.62        38001.99        83128.61
  1943          48             39838.90        33413.73        73252.63
  1943          49             37724.57        31618.13        69342.70
  1943          50             44035.57        35066.85        79102.42
  1943          51             34845.53        28905.17        63750.70
  1943          52             52031.52        38707.51        90739.03
  1943          53             29200.23        24968.42        54168.65
  1943          54             38145.85        31252.24        69398.09
  1943          55             34820.14        27971.76        62791.90
  1943          56             34124.92        26417.18        60542.10
  1943          57             36534.18        27960.14        64494.32
  1943          58             34490.18        26367.75        60857.93
  1943          59             28780.56        22371.66        51152.22
  1943          60             33012.67        24659.65        57672.32
  1943          61             23767.93        19368.87        43136.80
  1943          62             44986.37        31571.26        76557.63
  1943          63             19823.06        16318.15        36141.21
  1943          64             26123.18        19915.03        46038.21
  1943          65             25207.67        19939.84        45147.51
  1943          66             23631.77        17870.46        41502.23
  1943          67             28051.53        19123.75        47175.28
  1943          68             23004.94        17145.35        40150.29
  1943          69             18990.03        13688.93        32678.96
  1943          70             21187.53        14360.46        35547.99
  1943          71             13110.74         9708.60        22819.34
  1943          72             27289.83        16800.54        44090.37
  1943          73             10103.86         7320.53        17424.39
  1943          74             13874.62         9090.45        22965.07
  1943          75             11300.62         7712.22        19012.84
  1943          76             10604.46         7172.39        17776.85
  1943          77             13377.83         7694.67        21072.50
  1943          78              9503.98         5746.57        15250.55
  1943          79              7780.82         4936.69        12717.51
  1943          80              8773.35         4714.90        13488.25
  1943          81              7755.57         4067.87        11823.44
  1943          82              7046.88         3556.09        10602.97
  1943          83              6014.80         2914.12         8928.92
  1943          84              4926.86         2327.13         7253.99
  1943          85              4079.72         1780.78         5860.50
  1943          86              3287.71         1378.06         4665.77
  1943          87              2729.95         1102.68         3832.63
  1943          88              2218.38          864.34         3082.72
  1943          89              1809.44          673.61         2483.05
  1943          90              1453.91          491.64         1945.55
  1943          91              1142.84          368.65         1511.49
  1943          92               979.33          312.55         1291.88
  1943          93               758.95          234.04          992.99
  1943          94               566.15          166.89          733.04
  1943          95               435.20          126.70          561.90
  1943          96               317.02           89.16          406.18
  1943          97               251.65           64.64          316.29
  1943          98               186.31           46.55          232.86
  1943          99               120.35           25.35          145.70
  1943         100                81.67           17.45           99.12
  1943         101                59.98           15.51           75.49
  1943         102                44.23           10.24           54.47
  1943         103                28.42            5.48           33.90
  1943         104                23.04            4.49           27.53
  1943         105                14.82            3.49           18.31
  1943         106                 7.00            1.94            8.94
  1943         107                 5.49            1.00            6.49
  1943         108                 4.50            1.01            5.51
  1943         109                 4.52            0.47            4.99
  1943         110+                9.44            1.00           10.44
  1944           0             88108.46        92580.18       180688.64
  1944           1             77423.71        80806.85       158230.56
  1944           2             72778.50        75566.78       148345.28
  1944           3             68198.51        72825.95       141024.46
  1944           4             73005.68        76025.54       149031.22
  1944           5             81032.01        84541.52       165573.53
  1944           6             82864.24        86159.82       169024.06
  1944           7             82444.41        84998.52       167442.93
  1944           8             82915.19        86269.17       169184.36
  1944           9             82040.33        84886.02       166926.35
  1944          10             83015.32        85079.14       168094.46
  1944          11             83418.74        84679.64       168098.38
  1944          12             77222.52        79110.75       156333.27
  1944          13             81645.29        83781.58       165426.87
  1944          14             73596.74        77646.43       151243.17
  1944          15             81755.07        82776.05       164531.12
  1944          16             76607.02        77098.65       153705.67
  1944          17             78364.20        79823.95       158188.15
  1944          18             77305.04        78243.25       155548.29
  1944          19             77321.41        75098.47       152419.88
  1944          20             73696.44        72957.29       146653.73
  1944          21             75670.83        73720.43       149391.26
  1944          22             63994.18        63016.53       127010.71
  1944          23             73123.90        68263.36       141387.26
  1944          24             51931.41        57668.20       109599.61
  1944          25             58435.81        55776.85       114212.66
  1944          26             60406.64        59304.06       119710.70
  1944          27             60635.46        58438.22       119073.68
  1944          28             63859.45        60924.49       124783.94
  1944          29             62141.63        58916.90       121058.53
  1944          30             61091.49        57740.74       118832.23
  1944          31             65405.36        61113.21       126518.57
  1944          32             54229.12        52144.14       106373.26
  1944          33             70684.61        64554.36       135238.97
  1944          34             48244.60        46607.66        94852.26
  1944          35             58355.74        53952.26       112308.00
  1944          36             55838.74        50039.34       105878.08
  1944          37             52849.10        46986.91        99836.01
  1944          38             57615.32        49743.82       107359.14
  1944          39             53521.75        45748.79        99270.54
  1944          40             50358.23        43327.74        93685.97
  1944          41             54385.66        45872.55       100258.21
  1944          42             45527.20        40668.56        86195.76
  1944          43             61010.58        51002.33       112012.91
  1944          44             36101.42        32303.99        68405.41
  1944          45             45749.59        38372.34        84121.93
  1944          46             41297.46        34380.82        75678.28
  1944          47             40608.51        33909.97        74518.48
  1944          48             44546.32        37332.78        81879.10
  1944          49             39826.15        33163.91        72990.06
  1944          50             37490.30        31206.80        68697.10
  1944          51             43448.17        34497.50        77945.67
  1944          52             34449.33        28545.91        62995.24
  1944          53             51323.06        38016.31        89339.37
  1944          54             28880.67        24570.46        53451.13
  1944          55             37626.26        30602.32        68228.58
  1944          56             34497.68        27516.40        62014.08
  1944          57             33850.07        26025.87        59875.94
  1944          58             36105.35        27343.33        63448.68
  1944          59             34085.98        25884.71        59970.69
  1944          60             28476.84        21960.80        50437.64
  1944          61             32396.33        23970.18        56366.51
  1944          62             23467.80        18929.76        42397.56
  1944          63             43317.88        30226.04        73543.92
  1944          64             19405.70        15843.57        35249.27
  1944          65             25520.46        19248.68        44769.14
  1944          66             24288.99        19031.98        43320.97
  1944          67             22873.01        17104.03        39977.04
  1944          68             26970.69        18209.51        45180.20
  1944          69             22130.67        16248.78        38379.45
  1944          70             18161.90        12969.62        31131.52
  1944          71             20142.73        13537.43        33680.16
  1944          72             12634.29         9166.44        21800.73
  1944          73             25473.09        15444.02        40917.11
  1944          74              9646.92         6813.54        16460.46
  1944          75             12948.64         8305.74        21254.38
  1944          76             10458.70         6950.69        17409.39
  1944          77              9958.60         6471.05        16429.65
  1944          78             12226.37         6802.11        19028.48
  1944          79              8709.13         5075.99        13785.12
  1944          80              8851.27         4780.26        13631.53
  1944          81              7641.49         4009.62        11651.11
  1944          82              6976.92         3514.85        10491.77
  1944          83              6223.45         2979.29         9202.74
  1944          84              5235.45         2402.20         7637.65
  1944          85              4119.75         1876.84         5996.59
  1944          86              3371.62         1406.24         4777.86
  1944          87              2751.26         1074.87         3826.13
  1944          88              2240.94          846.66         3087.60
  1944          89              1830.77          663.11         2493.88
  1944          90              1427.16          511.06         1938.22
  1944          91              1130.46          376.63         1507.09
  1944          92               959.14          294.13         1253.27
  1944          93               795.09          239.69         1034.78
  1944          94               615.90          177.85          793.75
  1944          95               430.62          118.18          548.80
  1944          96               305.21           88.16          393.37
  1944          97               231.13           63.67          294.80
  1944          98               176.71           39.52          216.23
  1944          99               124.89           26.62          151.51
  1944         100                76.90           14.98           91.88
  1944         101                49.54            9.69           59.23
  1944         102                44.50            9.90           54.40
  1944         103                30.22            5.89           36.11
  1944         104                16.98            3.47           20.45
  1944         105                13.51            2.48           15.99
  1944         106                 9.44            2.55           11.99
  1944         107                 6.00            1.94            7.94
  1944         108                 3.46            0.47            3.93
  1944         109                 2.01            0.54            2.55
  1944         110+                7.99            0.47            8.46
  1945           0             88963.72        95853.09       184816.81
  1945           1             82961.84        86280.06       169241.90
  1945           2             75265.29        78444.35       153709.64
  1945           3             71837.90        74497.65       146335.55
  1945           4             68874.98        73141.84       142016.82
  1945           5             73143.70        76119.35       149263.05
  1945           6             81008.30        84414.72       165423.02
  1945           7             82125.99        85139.27       167265.26
  1945           8             82200.31        84882.70       167083.01
  1945           9             82432.95        85395.35       167828.30
  1945          10             81873.06        84232.19       166105.25
  1945          11             82825.88        84620.51       167446.39
  1945          12             83871.74        84825.08       168696.82
  1945          13             77248.90        78659.11       155908.01
  1945          14             81385.07        82398.72       163783.79
  1945          15             73417.06        77820.50       151237.56
  1945          16             81325.59        82184.08       163509.67
  1945          17             76419.18        76769.79       153188.97
  1945          18             78015.40        79128.66       157144.06
  1945          19             76968.95        77337.10       154306.05
  1945          20             76700.09        74344.03       151044.12
  1945          21             73194.75        72172.35       145367.10
  1945          22             74698.08        72745.32       147443.40
  1945          23             63378.26        62436.12       125814.38
  1945          24             72542.90        67873.14       140416.04
  1945          25             51079.03        55834.57       106913.60
  1945          26             57623.72        54927.57       112551.29
  1945          27             59546.79        58173.37       117720.16
  1945          28             59717.99        57298.52       117016.51
  1945          29             62906.60        59921.17       122827.77
  1945          30             61694.96        58311.85       120006.81
  1945          31             60630.13        57198.49       117828.62
  1945          32             65059.25        60653.85       125713.10
  1945          33             54479.00        52221.06       106700.06
  1945          34             70078.69        63907.94       133986.63
  1945          35             48057.25        46254.17        94311.42
  1945          36             58269.99        53753.77       112023.76
  1945          37             55402.72        49504.58       104907.30
  1945          38             52810.17        46716.83        99527.00
  1945          39             56982.33        49339.53       106321.86
  1945          40             52943.51        45190.12        98133.63
  1945          41             50124.44        42973.07        93097.51
  1945          42             54187.49        45509.17        99696.66
  1945          43             45420.10        40378.47        85798.57
  1945          44             60493.63        50403.28       110896.91
  1945          45             36085.73        32144.87        68230.60
  1945          46             45443.89        37946.72        83390.61
  1945          47             41075.28        34061.73        75137.01
  1945          48             40358.59        33507.57        73866.16
  1945          49             43964.42        36596.09        80560.51
  1945          50             39769.97        32859.75        72629.72
  1945          51             37255.74        30801.42        68057.16
  1945          52             42903.22        33912.46        76815.68
  1945          53             34074.23        28103.53        62177.76
  1945          54             50673.48        37285.33        87958.81
  1945          55             28556.97        24075.52        52632.49
  1945          56             37081.37        29855.05        66936.42
  1945          57             34175.34        27025.54        61200.88
  1945          58             33524.07        25564.18        59088.25
  1945          59             35655.45        26675.32        62330.77
  1945          60             33593.57        25302.61        58896.18
  1945          61             28199.58        21522.32        49721.90
  1945          62             31870.87        23301.71        55172.58
  1945          63             23050.86        18378.07        41428.93
  1945          64             41627.18        28808.22        70435.40
  1945          65             18901.32        15217.65        34118.97
  1945          66             24871.51        18479.12        43350.63
  1945          67             23447.19        18140.18        41587.37
  1945          68             22082.97        16263.29        38346.26
  1945          69             25916.53        17267.82        43184.35
